id,asset,year,rep_period,time_block_start,time_block_end,dual_min_output_flow_with_unit_commitment
566,BE_Nuclear,2030,4,14,14,0.0
567,BE_Nuclear,2030,4,15,15,0.0
568,BE_Nuclear,2030,4,16,16,0.0
569,BE_Nuclear,2030,4,17,17,0.0
570,BE_Nuclear,2030,4,18,18,0.0
571,BE_Nuclear,2030,4,19,19,0.0
572,BE_Nuclear,2030,4,20,20,0.0
573,BE_Nuclear,2030,4,21,21,0.0
574,BE_Nuclear,2030,4,22,22,0.0
575,BE_Nuclear,2030,4,23,23,0.0
576,BE_Nuclear,2030,4,24,24,0.0
577,BE_Nuclear,2030,5,1,1,0.0
578,BE_Nuclear,2030,5,2,2,0.0
579,BE_Nuclear,2030,5,3,3,0.0
580,BE_Nuclear,2030,5,4,4,0.0
581,BE_Nuclear,2030,5,5,5,0.0
582,BE_Nuclear,2030,5,6,6,0.0
583,BE_Nuclear,2030,5,7,7,0.0
584,BE_Nuclear,2030,5,8,8,0.0
585,BE_Nuclear,2030,5,9,9,0.0
586,BE_Nuclear,2030,5,10,10,0.0
587,BE_Nuclear,2030,5,11,11,0.0
588,BE_Nuclear,2030,5,12,12,0.0
589,BE_Nuclear,2030,5,13,13,0.0
590,BE_Nuclear,2030,5,14,14,0.0
591,BE_Nuclear,2030,5,15,15,0.0
592,BE_Nuclear,2030,5,16,16,0.0
593,BE_Nuclear,2030,5,17,17,0.0
594,BE_Nuclear,2030,5,18,18,0.0
595,BE_Nuclear,2030,5,19,19,0.0
596,BE_Nuclear,2030,5,20,20,0.0
597,BE_Nuclear,2030,5,21,21,0.0
598,BE_Nuclear,2030,5,22,22,0.0
599,BE_Nuclear,2030,5,23,23,0.0
600,BE_Nuclear,2030,5,24,24,0.0
601,BE_Nuclear,2030,6,1,1,0.0
602,BE_Nuclear,2030,6,2,2,0.0
603,BE_Nuclear,2030,6,3,3,0.0
