id,asset,year,rep_period,time_block_start,time_block_end,dual_minimum_up_time
360,LU_Coal,2030,10,19,24,0.0
361,LU_Nuclear,2030,1,1,6,0.0
362,LU_Nuclear,2030,1,7,12,0.0
363,LU_Nuclear,2030,1,13,18,0.0
364,LU_Nuclear,2030,1,19,24,0.0
365,LU_Nuclear,2030,2,1,6,0.0
366,LU_Nuclear,2030,2,7,12,0.0
367,LU_Nuclear,2030,2,13,18,0.0
368,LU_Nuclear,2030,2,19,24,0.0
369,LU_Nuclear,2030,3,1,6,0.0
370,LU_Nuclear,2030,3,7,12,0.0
371,LU_Nuclear,2030,3,13,18,0.0
372,LU_Nuclear,2030,3,19,24,0.0
373,LU_Nuclear,2030,4,1,6,0.0
374,LU_Nuclear,2030,4,7,12,0.0
375,LU_Nuclear,2030,4,13,18,0.0
376,LU_Nuclear,2030,4,19,24,0.0
377,LU_Nuclear,2030,5,1,6,0.0
378,LU_Nuclear,2030,5,7,12,0.0
379,LU_Nuclear,2030,5,13,18,0.0
380,LU_Nuclear,2030,5,19,24,0.0
381,LU_Nuclear,2030,6,1,6,0.0
382,LU_Nuclear,2030,6,7,12,0.0
383,LU_Nuclear,2030,6,13,18,0.0
384,LU_Nuclear,2030,6,19,24,0.0
385,LU_Nuclear,2030,7,1,6,0.0
386,LU_Nuclear,2030,7,7,12,0.0
387,LU_Nuclear,2030,7,13,18,0.0
388,LU_Nuclear,2030,7,19,24,0.0
389,LU_Nuclear,2030,8,1,6,0.0
390,LU_Nuclear,2030,8,7,12,0.0
391,LU_Nuclear,2030,8,13,18,0.0
392,LU_Nuclear,2030,8,19,24,0.0
393,LU_Nuclear,2030,9,1,6,0.0
394,LU_Nuclear,2030,9,7,12,0.0
395,LU_Nuclear,2030,9,13,18,0.0
396,LU_Nuclear,2030,9,19,24,0.0
397,LU_Nuclear,2030,10,1,6,0.0
398,LU_Nuclear,2030,10,7,12,0.0
399,LU_Nuclear,2030,10,13,18,0.0
400,LU_Nuclear,2030,10,19,24,0.0
401,NL_Coal,2030,1,1,6,0.0
402,NL_Coal,2030,1,7,12,0.0
403,NL_Coal,2030,1,13,18,0.0
404,NL_Coal,2030,1,19,24,0.0
405,NL_Coal,2030,2,1,6,0.0
406,NL_Coal,2030,2,7,12,0.0
407,NL_Coal,2030,2,13,18,0.0
408,NL_Coal,2030,2,19,24,0.0
409,NL_Coal,2030,3,1,6,0.0
410,NL_Coal,2030,3,7,12,0.0
411,NL_Coal,2030,3,13,18,0.0
412,NL_Coal,2030,3,19,24,0.0
413,NL_Coal,2030,4,1,6,0.0
414,NL_Coal,2030,4,7,12,0.0
415,NL_Coal,2030,4,13,18,0.0
416,NL_Coal,2030,4,19,24,0.0
417,NL_Coal,2030,5,1,6,0.0
418,NL_Coal,2030,5,7,12,0.0
419,NL_Coal,2030,5,13,18,0.0
420,NL_Coal,2030,5,19,24,0.0
421,NL_Coal,2030,6,1,6,0.0
422,NL_Coal,2030,6,7,12,0.0
423,NL_Coal,2030,6,13,18,0.0
424,NL_Coal,2030,6,19,24,0.0
