id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
209,UK_Coal,UK_Balance,2030,1,1.0,1.0,1,6,0.0
210,UK_Coal,UK_Balance,2030,1,1.0,1.0,7,12,4944.0
211,UK_Coal,UK_Balance,2030,1,1.0,1.0,13,18,0.0
212,UK_Coal,UK_Balance,2030,1,1.0,1.0,19,24,0.0
213,UK_Nuclear,UK_Balance,2030,1,1.0,1.0,1,6,0.0
214,UK_Nuclear,UK_Balance,2030,1,1.0,1.0,7,12,9.536743164062504e-07
215,UK_Nuclear,UK_Balance,2030,1,1.0,1.0,13,18,9.536743164062504e-07
216,UK_Nuclear,UK_Balance,2030,1,1.0,1.0,19,24,0.0
217,UK_CCGT,UK_Balance,2030,1,1.0,1.0,1,6,0.0
218,UK_CCGT,UK_Balance,2030,1,1.0,1.0,7,12,0.0
219,UK_CCGT,UK_Balance,2030,1,1.0,1.0,13,18,0.0
220,UK_CCGT,UK_Balance,2030,1,1.0,1.0,19,24,0.0
221,UK_OCGT,UK_Balance,2030,1,1.0,1.0,1,6,0.0
222,UK_OCGT,UK_Balance,2030,1,1.0,1.0,7,12,0.0
223,UK_OCGT,UK_Balance,2030,1,1.0,1.0,13,18,0.0
224,UK_OCGT,UK_Balance,2030,1,1.0,1.0,19,24,0.0
225,UK_Battery,UK_Balance,2030,1,1.0,1.0,1,6,0.0
226,UK_Battery,UK_Balance,2030,1,1.0,1.0,7,12,0.0
227,UK_Battery,UK_Balance,2030,1,1.0,1.0,13,18,0.0
228,UK_Battery,UK_Balance,2030,1,1.0,1.0,19,24,0.0
229,UK_Balance,UK_Battery,2030,1,1.0,1.0,1,6,0.0
230,UK_Balance,UK_Battery,2030,1,1.0,1.0,7,12,0.0
231,UK_Balance,UK_Battery,2030,1,1.0,1.0,13,18,0.0
232,UK_Balance,UK_Battery,2030,1,1.0,1.0,19,24,0.0
233,NL_Balance,UK_Balance,2030,1,1.0,1.0,1,6,-1000.0
234,NL_Balance,UK_Balance,2030,1,1.0,1.0,7,12,-1000.0
235,NL_Balance,UK_Balance,2030,1,1.0,1.0,13,18,-1000.0
236,NL_Balance,UK_Balance,2030,1,1.0,1.0,19,24,-1000.0
237,NL_Balance,BE_Balance,2030,1,1.0,1.0,1,6,-824.359622180911
238,NL_Balance,BE_Balance,2030,1,1.0,1.0,7,12,-969.4286748332556
239,NL_Balance,BE_Balance,2030,1,1.0,1.0,13,18,-906.9329593349612
240,NL_Balance,BE_Balance,2030,1,1.0,1.0,19,24,180.87282195907613
241,NL_Balance,DE_Balance,2030,1,1.0,1.0,1,6,-212.65013645306692
242,NL_Balance,DE_Balance,2030,1,1.0,1.0,7,12,-1000.0
243,NL_Balance,DE_Balance,2030,1,1.0,1.0,13,18,-1000.0
244,NL_Balance,DE_Balance,2030,1,1.0,1.0,19,24,-1000.0
245,BE_Balance,LU_Balance,2030,1,1.0,1.0,1,6,-1000.0
246,BE_Balance,LU_Balance,2030,1,1.0,1.0,7,12,-1000.0
247,BE_Balance,LU_Balance,2030,1,1.0,1.0,13,18,665.0219556623256
248,BE_Balance,LU_Balance,2030,1,1.0,1.0,19,24,-1000.0
249,BE_Balance,FR_Balance,2030,1,1.0,1.0,1,6,996.050529688735
250,BE_Balance,FR_Balance,2030,1,1.0,1.0,7,12,1000.0
251,BE_Balance,FR_Balance,2030,1,1.0,1.0,13,18,-160.28466497143745
252,BE_Balance,FR_Balance,2030,1,1.0,1.0,19,24,1000.0
253,BE_Balance,UK_Balance,2030,1,1.0,1.0,1,6,-1000.0
254,BE_Balance,UK_Balance,2030,1,1.0,1.0,7,12,-981.2543410700528
255,BE_Balance,UK_Balance,2030,1,1.0,1.0,13,18,850.9384888165805
256,BE_Balance,UK_Balance,2030,1,1.0,1.0,19,24,-1000.0
257,BE_Balance,DE_Balance,2030,1,1.0,1.0,1,6,-1000.0
258,BE_Balance,DE_Balance,2030,1,1.0,1.0,7,12,-1000.0
259,BE_Balance,DE_Balance,2030,1,1.0,1.0,13,18,-1000.0
260,BE_Balance,DE_Balance,2030,1,1.0,1.0,19,24,-1000.0
261,DE_Balance,FR_Balance,2030,1,1.0,1.0,1,6,1000.0
262,DE_Balance,FR_Balance,2030,1,1.0,1.0,7,12,1000.0
263,DE_Balance,FR_Balance,2030,1,1.0,1.0,13,18,1000.0
264,DE_Balance,FR_Balance,2030,1,1.0,1.0,19,24,1000.0
265,DE_Balance,CH_Balance,2030,1,1.0,1.0,1,6,1000.0
266,DE_Balance,CH_Balance,2030,1,1.0,1.0,7,12,1000.0
267,DE_Balance,CH_Balance,2030,1,1.0,1.0,13,18,1000.0
268,DE_Balance,CH_Balance,2030,1,1.0,1.0,19,24,1000.0
269,DE_Balance,LU_Balance,2030,1,1.0,1.0,1,6,1000.0
270,DE_Balance,LU_Balance,2030,1,1.0,1.0,7,12,1000.0
271,DE_Balance,LU_Balance,2030,1,1.0,1.0,13,18,1000.0
272,DE_Balance,LU_Balance,2030,1,1.0,1.0,19,24,1000.0
273,FR_Balance,CH_Balance,2030,1,1.0,1.0,1,6,1000.0
274,FR_Balance,CH_Balance,2030,1,1.0,1.0,7,12,-1000.0
275,FR_Balance,CH_Balance,2030,1,1.0,1.0,13,18,-1000.0
276,FR_Balance,CH_Balance,2030,1,1.0,1.0,19,24,-1000.0
277,FR_Balance,UK_Balance,2030,1,1.0,1.0,1,6,-1000.0
278,FR_Balance,UK_Balance,2030,1,1.0,1.0,7,12,-1000.0
