id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flow_with_basic_unit_commitment
440,DE_Nuclear,2030,10,19,24,0.0
441,DE_OCGT,2030,1,1,6,0.0
442,DE_OCGT,2030,1,7,12,0.0
443,DE_OCGT,2030,1,13,18,0.0
444,DE_OCGT,2030,1,19,24,0.0
445,DE_OCGT,2030,2,1,6,0.0
446,DE_OCGT,2030,2,7,12,0.0
447,DE_OCGT,2030,2,13,18,0.0
448,DE_OCGT,2030,2,19,24,0.0
449,DE_OCGT,2030,3,1,6,0.0
450,DE_OCGT,2030,3,7,12,0.0
451,DE_OCGT,2030,3,13,18,0.0
452,DE_OCGT,2030,3,19,24,0.0
453,DE_OCGT,2030,4,1,6,0.0
454,DE_OCGT,2030,4,7,12,0.0
455,DE_OCGT,2030,4,13,18,0.0
456,DE_OCGT,2030,4,19,24,0.0
457,DE_OCGT,2030,5,1,6,0.0
458,DE_OCGT,2030,5,7,12,0.0
459,DE_OCGT,2030,5,13,18,0.0
460,DE_OCGT,2030,5,19,24,0.0
461,DE_OCGT,2030,6,1,6,0.0
462,DE_OCGT,2030,6,7,12,0.0
463,DE_OCGT,2030,6,13,18,0.0
464,DE_OCGT,2030,6,19,24,0.0
465,DE_OCGT,2030,7,1,6,0.0
466,DE_OCGT,2030,7,7,12,0.0
467,DE_OCGT,2030,7,13,18,0.0
468,DE_OCGT,2030,7,19,24,0.0
469,DE_OCGT,2030,8,1,6,0.0
470,DE_OCGT,2030,8,7,12,0.0
471,DE_OCGT,2030,8,13,18,0.0
472,DE_OCGT,2030,8,19,24,0.0
473,DE_OCGT,2030,9,1,6,0.0
474,DE_OCGT,2030,9,7,12,0.0
475,DE_OCGT,2030,9,13,18,0.0
476,DE_OCGT,2030,9,19,24,0.0
477,DE_OCGT,2030,10,1,6,0.0
478,DE_OCGT,2030,10,7,12,0.0
479,DE_OCGT,2030,10,13,18,0.0
480,DE_OCGT,2030,10,19,24,0.0
481,FR_CCGT,2030,1,1,6,0.0
482,FR_CCGT,2030,1,7,12,0.0
483,FR_CCGT,2030,1,13,18,0.0
484,FR_CCGT,2030,1,19,24,0.0
485,FR_CCGT,2030,2,1,6,0.0
486,FR_CCGT,2030,2,7,12,0.0
487,FR_CCGT,2030,2,13,18,0.0
488,FR_CCGT,2030,2,19,24,0.0
489,FR_CCGT,2030,3,1,6,0.0
490,FR_CCGT,2030,3,7,12,0.0
491,FR_CCGT,2030,3,13,18,0.0
492,FR_CCGT,2030,3,19,24,0.0
493,FR_CCGT,2030,4,1,6,0.0
494,FR_CCGT,2030,4,7,12,0.0
495,FR_CCGT,2030,4,13,18,0.0
496,FR_CCGT,2030,4,19,24,0.0
497,FR_CCGT,2030,5,1,6,0.0
498,FR_CCGT,2030,5,7,12,0.0
499,FR_CCGT,2030,5,13,18,0.0
500,FR_CCGT,2030,5,19,24,0.0
501,FR_CCGT,2030,6,1,6,0.0
502,FR_CCGT,2030,6,7,12,0.0
503,FR_CCGT,2030,6,13,18,0.0
504,FR_CCGT,2030,6,19,24,0.0
505,FR_CCGT,2030,7,1,6,0.0
506,FR_CCGT,2030,7,7,12,0.0
507,FR_CCGT,2030,7,13,18,0.0
508,FR_CCGT,2030,7,19,24,0.0
509,FR_CCGT,2030,8,1,6,0.0
510,FR_CCGT,2030,8,7,12,0.0
511,FR_CCGT,2030,8,13,18,0.0
512,FR_CCGT,2030,8,19,24,0.0
513,FR_CCGT,2030,9,1,6,0.0
514,FR_CCGT,2030,9,7,12,0.0
515,FR_CCGT,2030,9,13,18,0.0
516,FR_CCGT,2030,9,19,24,0.0
517,FR_CCGT,2030,10,1,6,0.0
518,FR_CCGT,2030,10,7,12,0.0
519,FR_CCGT,2030,10,13,18,0.0
520,FR_CCGT,2030,10,19,24,0.0
521,FR_Coal,2030,1,1,6,0.0
522,FR_Coal,2030,1,7,12,0.0
523,FR_Coal,2030,1,13,18,0.0
524,FR_Coal,2030,1,19,24,0.0
525,FR_Coal,2030,2,1,6,0.0
526,FR_Coal,2030,2,7,12,0.0
527,FR_Coal,2030,2,13,18,0.0
528,FR_Coal,2030,2,19,24,0.0
529,FR_Coal,2030,3,1,6,0.0
530,FR_Coal,2030,3,7,12,0.0
531,FR_Coal,2030,3,13,18,0.0
532,FR_Coal,2030,3,19,24,0.0
533,FR_Coal,2030,4,1,6,0.0
534,FR_Coal,2030,4,7,12,0.0
535,FR_Coal,2030,4,13,18,0.0
536,FR_Coal,2030,4,19,24,0.0
537,FR_Coal,2030,5,1,6,0.0
538,FR_Coal,2030,5,7,12,0.0
539,FR_Coal,2030,5,13,18,0.0
540,FR_Coal,2030,5,19,24,0.0
541,FR_Coal,2030,6,1,6,0.0
542,FR_Coal,2030,6,7,12,0.0
543,FR_Coal,2030,6,13,18,0.0
544,FR_Coal,2030,6,19,24,0.0
545,FR_Coal,2030,7,1,6,0.0
