id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
491,FR_Balance,2030,1,16,16,0.0
492,FR_Balance,2030,1,17,18,3.498
493,FR_Balance,2030,1,19,20,3.498
494,FR_Balance,2030,1,21,21,3.4820999999999995
495,FR_Balance,2030,1,22,22,1.9239000000000002
496,FR_Balance,2030,1,23,24,0.8904
497,FR_Balance,2030,2,1,2,0.132
498,FR_Balance,2030,2,3,3,0.0
499,FR_Balance,2030,2,4,4,0.132
500,FR_Balance,2030,2,5,6,0.132
501,FR_Balance,2030,2,7,8,0.132
502,FR_Balance,2030,2,9,9,0.132
503,FR_Balance,2030,2,10,10,0.0
504,FR_Balance,2030,2,11,12,0.132
505,FR_Balance,2030,2,13,14,0.132
506,FR_Balance,2030,2,15,15,0.0
507,FR_Balance,2030,2,16,16,0.132
508,FR_Balance,2030,2,17,18,0.132
509,FR_Balance,2030,2,19,20,2.178
510,FR_Balance,2030,2,21,21,0.0
511,FR_Balance,2030,2,22,22,1.1945999999999999
512,FR_Balance,2030,2,23,24,0.5544
513,FR_Balance,2030,3,1,2,0.116
514,FR_Balance,2030,3,3,3,0.116
515,FR_Balance,2030,3,4,4,0.0
516,FR_Balance,2030,3,5,6,0.116
517,FR_Balance,2030,3,7,8,0.116
518,FR_Balance,2030,3,9,9,0.116
519,FR_Balance,2030,3,10,10,0.0
520,FR_Balance,2030,3,11,12,0.116
521,FR_Balance,2030,3,13,14,0.116
522,FR_Balance,2030,3,15,15,1.4239
523,FR_Balance,2030,3,16,16,-0.3741000000000001
524,FR_Balance,2030,3,17,18,1.9140000000000001
525,FR_Balance,2030,3,19,20,0.116
526,FR_Balance,2030,3,21,21,2.2881
527,FR_Balance,2030,3,22,22,-0.3741000000000001
528,FR_Balance,2030,3,23,24,1.9140000000000001
529,FR_Balance,2030,4,1,2,0.092
530,FR_Balance,2030,4,3,3,0.092
531,FR_Balance,2030,4,4,4,0.0
532,FR_Balance,2030,4,5,6,0.092
533,FR_Balance,2030,4,7,8,0.38639999999999997
534,FR_Balance,2030,4,9,9,0.0
535,FR_Balance,2030,4,10,10,0.38639999999999997
536,FR_Balance,2030,4,11,12,0.092
537,FR_Balance,2030,4,13,14,0.092
538,FR_Balance,2030,4,15,15,0.0
539,FR_Balance,2030,4,16,16,0.092
540,FR_Balance,2030,4,17,18,0.092
541,FR_Balance,2030,4,19,20,0.092
542,FR_Balance,2030,4,21,21,0.38639999999999997
543,FR_Balance,2030,4,22,22,0.0
544,FR_Balance,2030,4,23,24,0.38639999999999997
545,FR_Balance,2030,5,1,2,0.20800000000000002
546,FR_Balance,2030,5,3,3,0.0
547,FR_Balance,2030,5,4,4,0.20800000000000002
548,FR_Balance,2030,5,5,6,0.20800000000000002
549,FR_Balance,2030,5,7,8,0.20800000000000002
550,FR_Balance,2030,5,9,9,0.0
551,FR_Balance,2030,5,10,10,0.20800000000000002
552,FR_Balance,2030,5,11,12,0.20800000000000002
553,FR_Balance,2030,5,13,14,0.20800000000000002
554,FR_Balance,2030,5,15,15,0.20800000000000002
555,FR_Balance,2030,5,16,16,0.0
556,FR_Balance,2030,5,17,18,0.20800000000000002
557,FR_Balance,2030,5,19,20,0.20800000000000002
558,FR_Balance,2030,5,21,21,0.0
559,FR_Balance,2030,5,22,22,0.20800000000000002
560,FR_Balance,2030,5,23,24,0.20800000000000002
561,FR_Balance,2030,6,1,2,0.07200000000000001
562,FR_Balance,2030,6,3,3,0.07200000000000001
563,FR_Balance,2030,6,4,4,0.0
564,FR_Balance,2030,6,5,6,0.07200000000000001
565,FR_Balance,2030,6,7,8,1.1880000000000002
566,FR_Balance,2030,6,9,9,1.1880000000000002
567,FR_Balance,2030,6,10,10,0.0
568,FR_Balance,2030,6,11,12,0.07200000000000001
569,FR_Balance,2030,6,13,14,0.07200000000000001
570,FR_Balance,2030,6,15,15,0.0
571,FR_Balance,2030,6,16,16,0.07200000000000001
572,FR_Balance,2030,6,17,18,0.07200000000000001
573,FR_Balance,2030,6,19,20,0.07200000000000001
574,FR_Balance,2030,6,21,21,0.0
575,FR_Balance,2030,6,22,22,1.1880000000000002
